book_id,蔵書コード,book_detail_id,place,state,発行日,発行版
132,ADKE-0232,128,0,0,2015/7/11,第1版第4刷
133,ADKE-0233,129,0,0,2015/8/21,第1版第5刷
134,ADKE-0234,130,0,0,2016/5/1,第1版第5刷
135,ADKE-0235,131,0,0,,Version 5 Release 14
136,ADKE-0236,132,0,0,,Version 5 Release 14
137,ADKE-0237,133,0,0,,不明
138,ADKE-0238,134,0,0,,不明
139,ADKE-0239,135,0,0,2007/5/10,不明
140,ADKE-0240,136,0,0,2004/7/20,第1刷
141,ADKE-0241,137,0,0,1999/1/29,初版第1刷
142,ADKE-0242,138,0,0,2015/7/10,初版第1刷
143,ADKE-0243,139,0,0,2014/8/10,初版第2刷
144,ADKE-0244,140,0,0,2015/6/27,不明
145,ADKE-0245,141,0,0,2015/8/13,不明
